No.;Gene name;Score;Oncogene or Tumor Suppresson gene
692;ROCK2;0.000257502;#N/A
693;KIF18B;0.000257363;#N/A
694;PSMD11;0.000257302;#N/A
695;PSMB4;0.000257149;#N/A
696;ETS2;0.000256935;#N/A
697;SMG1;0.000256914;x
698;VIM;0.000256829;#N/A
699;LMNA;0.000256729;x
700;HNF4A;0.000256693;#N/A
701;UBR1;0.000256572;#N/A
702;NIPBL;0.000256135;#N/A
703;MAPK12;0.000255248;#N/A
704;KSR1;0.00025514;#N/A
705;IQGAP3;0.000255087;#N/A
706;HDAC5;0.000254961;#N/A
707;IRAK1;0.00025488;#N/A
708;ERC2;0.000254858;#N/A
709;CTDSPL2;0.000254149;#N/A
710;WNT3A;0.000253886;#N/A
711;PPP1R12A;0.00025385;#N/A
712;UBA52;0.000253846;#N/A
713;MYO19;0.000253573;#N/A
714;PSMD10;0.000253286;#N/A
715;RAE1;0.000253267;#N/A
716;EPHA7;0.000253215;x
717;EED;0.000253207;x
718;NCF1;0.00025312;#N/A
719;NUP160;0.000253115;#N/A
720;PSMA3;0.000253061;#N/A
721;OIP5;0.000252994;#N/A
722;EHMT2;0.000252263;#N/A
723;EIF4G1;0.000252007;#N/A
724;RET;0.000251875;x
725;SNCA;0.000251777;#N/A
726;NF1;0.000251762;x
727;PTN;0.000251706;#N/A
728;ATF3;0.000251652;#N/A
729;CCT7;0.000251592;#N/A
730;KIF2A;0.000251537;#N/A
731;FANCA;0.000251342;x
732;CCND3;0.000251333;x
733;PRKD3;0.000251291;#N/A
734;FOXM1;0.000251037;#N/A
735;CLTB;0.000250891;#N/A
736;GAPDHS;0.000250804;#N/A
737;ZRANB1;0.0002503;#N/A
738;EIF4A3;0.000250137;#N/A
739;BABAM1;0.00025;#N/A
740;ACAP2;0.000249878;#N/A
741;F2;0.000249858;#N/A
742;GRIN3A;0.00024983;#N/A
743;ERCC6L;0.000249652;#N/A
744;NUP133;0.000249592;#N/A
745;ZMYM4;0.000249544;#N/A
746;TSTD2;0.000249123;#N/A
747;H1-1;0.000248746;#N/A
748;TGFBR1;0.000248745;x
749;HDAC11;0.000248745;#N/A
750;PRKAA2;0.000248714;#N/A
751;RPTOR;0.000248425;x
752;TOPBP1;0.000248126;#N/A
753;BIRC6;0.000247978;#N/A
754;MSH2;0.000247975;x
755;CDC73;0.000247881;x
756;PLAUR;0.000247855;#N/A
757;NUFIP2;0.000247066;#N/A
758;ANAPC2;0.000247035;#N/A
759;GNA13;0.000246914;x
760;PTTG1;0.000246731;#N/A
761;ASH2L;0.000246656;#N/A
762;AQR;0.000246184;#N/A
763;FAM199X;0.000245963;#N/A
764;MDM4;0.000245957;x
765;HCK;0.000245913;#N/A
766;FHL2;0.000245784;#N/A
767;RAB11A;0.000245376;#N/A
768;OXSR1;0.00024528;#N/A
769;TEAD2;0.000245134;#N/A
770;FOXC1;0.000244933;#N/A
771;NCOA6;0.000244549;#N/A
772;IFI16;0.000244468;#N/A
773;SMAD5;0.000244312;#N/A
774;VSX2;0.000243994;#N/A
775;SP3;0.000243585;#N/A
776;FAS;0.000243494;x
777;IRS2;0.000243344;x
778;RPS6;0.000243286;#N/A
779;ADRB2;0.000243214;#N/A
780;LGALS9;0.000242961;#N/A
781;RBL2;0.000242926;#N/A
